time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
5.2500,0.0000,4.4678,40.4407,20.6743,30.6609
5.3000,0.0000,4.5970,40.9679,20.8330,30.7386
5.3500,0.0000,4.7303,41.4890,20.9948,30.7974
5.4000,0.0000,4.8678,42.0037,21.1603,30.8372
5.4500,0.0000,5.0097,42.5117,21.3296,30.8579
5.5000,0.0000,5.1558,43.0127,21.5032,30.8594
5.5500,0.0000,5.3063,43.5063,21.6812,30.8418
5.6000,0.0000,5.4612,43.9921,21.8640,30.8051
5.6500,0.0000,5.6206,44.4699,22.0517,30.7495
5.7000,0.0000,5.7844,44.9393,22.2447,30.6752
5.7500,0.0000,5.9528,45.3999,22.4430,30.5825
5.8000,0.0000,6.1257,45.8514,22.6470,30.4717
5.8500,0.0000,6.3031,46.2935,22.8566,30.3432
5.9000,0.0000,6.4852,46.7259,23.0722,30.1973
5.9500,0.0000,6.6718,47.1483,23.2937,30.0342
6.0000,0.0000,6.8630,47.5603,23.5213,29.8545
6.0500,0.0000,7.0590,47.9618,23.7552,29.6584
6.1000,0.0000,7.2601,48.3533,23.9955,29.4461
6.1500,0.0000,7.4669,48.7353,24.2427,29.2177
6.2000,0.0000,7.6798,49.1082,24.4970,28.9735
6.2500,0.0000,7.8994,49.4726,24.7587,28.7136
6.3000,0.0000,8.1260,49.8288,25.0279,28.4383
6.3500,0.0000,8.3600,50.1773,25.3050,28.1479
6.4000,0.0000,8.6018,50.5185,25.5899,27.8426
6.4500,0.0000,8.8516,50.8527,25.8830,27.5229
6.5000,0.0000,9.1098,51.1803,26.1842,27.1890
6.5500,0.0000,9.3765,51.5016,26.4937,26.8414
6.6000,0.0000,9.6520,51.8170,26.8115,26.4805
6.6500,0.0000,9.9365,52.1266,27.1377,26.1066
6.7000,0.0000,10.2301,52.4308,27.4722,25.7204
6.7500,0.0000,10.5330,52.7298,27.8151,25.3221
6.8000,0.0000,10.8452,53.0241,28.1663,24.9125
6.8500,0.0000,11.1669,53.3137,28.5257,24.4919
6.9000,0.0000,11.4980,53.5989,28.8934,24.0609
6.9500,0.0000,11.8387,53.8801,29.2691,23.6201
7.0000,0.0000,12.1888,54.1574,29.6529,23.1702
7.0500,0.0000,12.5483,54.4312,30.0444,22.7116
7.1000,0.0000,12.9173,54.7016,30.4437,22.2450
7.1500,0.0000,13.2956,54.9686,30.8505,21.7710
7.2000,0.0000,13.6832,55.2319,31.2646,21.2904
7.2500,0.0000,14.0798,55.4912,31.6859,20.8037
7.3000,0.0000,14.4855,55.7462,32.1141,20.3116
7.3500,0.0000,14.8999,55.9964,32.5490,19.8148
7.4000,0.0000,15.3230,56.2415,32.9903,19.3140
7.4500,0.0000,15.7546,56.4812,33.4379,18.8100
7.5000,0.0000,16.1944,56.7152,33.8913,18.3034
7.5500,0.0000,16.6422,56.9432,34.3505,17.7948
7.6000,0.0000,17.0982,57.1654,34.8156,17.2849
7.6500,0.0000,17.5621,57.3819,35.2869,16.7740
7.7000,0.0000,18.0341,57.5929,35.7644,16.2627
7.7500,0.0000,18.5140,57.7985,36.2483,15.7514
7.8000,0.0000,19.0018,57.9990,36.7388,15.2407
7.8500,0.0000,19.4974,58.1943,37.2358,14.7311
7.9000,0.0000,20.0006,58.3846,37.7394,14.2231
7.9500,0.0000,20.5113,58.5698,38.2496,13.7173
8.0000,0.0000,21.0292,58.7501,38.7662,13.2144
8.0500,0.0000,21.5542,58.9254,39.2893,12.7147
8.1000,0.0000,22.0860,59.0958,39.8185,12.2190
8.1500,0.0000,22.6243,59.2611,40.3539,11.7278
8.2000,0.0000,23.1690,59.4214,40.8951,11.2417
8.2500,0.0000,23.7196,59.5767,41.4420,10.7613
8.3000,0.0000,24.2759,59.7268,41.9943,10.2872
8.3500,0.0000,24.8375,59.8717,42.5516,9.8199
8.4000,0.0000,25.4041,60.0113,43.1138,9.3601
8.4500,0.0000,25.9753,60.1455,43.6804,8.9083
8.5000,0.0000,26.5508,60.2741,44.2510,8.4651
8.5500,0.0000,27.1301,60.3971,44.8252,8.0310
8.6000,0.0000,27.7129,60.5143,45.4027,7.6066
8.6500,0.0000,28.2987,60.6255,45.9830,7.1924
8.7000,0.0000,28.8871,60.7307,46.5655,6.7889
8.7500,0.0000,29.4777,60.8296,47.1499,6.3966
8.8000,0.0000,30.0701,60.9221,47.7355,6.0160
8.8500,0.0000,30.6637,61.0080,48.3219,5.6476
8.9000,0.0000,31.2581,61.0871,48.9084,5.2917
8.9500,0.0000,31.8529,61.1592,49.4946,4.9487
9.0000,0.0000,32.4476,61.2241,50.0797,4.6192
9.0500,0.0000,33.0417,61.2818,50.6632,4.3034
9.1000,0.0000,33.6348,61.3327,51.2445,4.0021
9.1500,0.0000,34.2263,61.3774,51.8228,3.7162
9.2000,0.0000,34.8158,61.4163,52.3975,3.4465
9.2500,0.0000,35.4029,61.4500,52.9680,3.1935
9.3000,0.0000,35.9870,61.4788,53.5334,2.9579
9.3500,0.0000,36.5676,61.5031,54.0932,2.7401
9.4000,0.0000,37.1443,61.5231,54.6465,2.5407
9.4500,0.0000,37.7166,61.5391,55.1926,2.3601
9.5000,0.0000,38.2841,61.5512,55.7308,2.1985
9.5500,0.0000,38.8462,61.5597,56.2602,2.0561
9.6000,0.0000,39.4026,61.5644,56.7800,1.9331
9.6500,0.0000,39.9527,61.5656,57.2895,1.8295
9.7000,0.0000,40.4961,61.5631,57.7879,1.7455
9.7500,0.0000,41.0324,61.5569,58.2742,1.6807
9.8000,0.0000,41.5612,61.5468,58.7476,1.6351
9.8500,0.0000,42.0820,61.5327,59.2074,1.6084
9.9000,0.0000,42.5944,61.5144,59.6525,1.6003
9.9500,0.0000,43.0980,61.4916,60.0822,1.6102
10.0000,0.0000,43.5925,61.4639,60.4955,1.6377
10.0500,0.0000,44.0774,61.4312,60.8916,1.6823
10.1000,0.0000,44.5523,61.3934,61.2701,1.7440
10.1500,0.0000,45.0171,61.3507,61.6306,1.8229
10.2000,0.0000,45.4712,61.3034,61.9730,1.9191
10.2500,0.0000,45.9144,61.2514,62.2968,2.0327
10.3000,0.0000,46.3463,61.1950,62.6020,2.1637
10.3500,0.0000,46.7667,61.1343,62.8883,2.3120
10.4000,0.0000,47.1754,61.0693,63.1555,2.4775
10.4500,0.0000,47.5720,61.0001,63.4034,2.6602
10.5000,0.0000,47.9562,60.9269,63.6320,2.8598
10.5500,0.0000,48.3280,60.8497,63.8412,3.0762
10.6000,0.0000,48.6871,60.7691,64.0312,3.3096
10.6500,0.0000,49.0332,60.6857,64.2021,3.5603
10.7000,0.0000,49.3663,60.6000,64.3543,3.8284
10.7500,0.0000,49.6863,60.5124,64.4881,4.1139
10.8000,0.0000,49.9929,60.4235,64.6036,4.4169
10.8500,0.0000,50.2861,60.3336,64.7012,4.7372
10.9000,0.0000,50.5658,60.2431,64.7812,5.0747
10.9500,0.0000,50.8320,60.1522,64.8440,5.4291
11.0000,0.0000,51.0847,60.0614,64.8899,5.8001
11.0500,0.0000,51.3238,59.9708,64.9193,6.1874
11.1000,0.0000,51.5494,59.8806,64.9326,6.5904
11.1500,0.0000,51.7615,59.7910,64.9303,7.0086
11.2000,0.0000,51.9602,59.7021,64.9127,7.4414
11.2500,0.0000,52.1457,59.6140,64.8805,7.8881
11.3000,0.0000,52.3179,59.5267,64.8340,8.3479
11.3500,0.0000,52.4772,59.4403,64.7740,8.8200
11.4000,0.0000,52.6237,59.3547,64.7008,9.3036
11.4500,0.0000,52.7575,59.2699,64.6151,9.7975
11.5000,0.0000,52.8790,59.1858,64.5176,10.3007
11.5500,0.0000,52.9884,59.1022,64.4088,10.8123
11.6000,0.0000,53.0856,59.0192,64.2893,11.3317
11.6500,0.0000,53.1709,58.9369,64.1593,11.8588
11.7000,0.0000,53.2440,58.8554,64.0194,12.3930
11.7500,0.0000,53.3052,58.7747,63.8698,12.9341
11.8000,0.0000,53.3545,58.6949,63.7106,13.4816
11.8500,0.0000,53.3920,58.6159,63.5415,14.0352
11.9000,0.0000,53.4176,58.5376,63.3625,14.5945
11.9500,0.0000,53.4316,58.4602,63.1735,15.1589
12.0000,0.0000,53.4340,58.3834,62.9746,15.7282
12.0500,0.0000,53.4249,58.3073,62.7658,16.3018
12.1000,0.0000,53.4042,58.2325,62.5478,16.8794
12.1500,0.0000,53.3717,58.1597,62.3216,17.4604
12.2000,0.0000,53.3275,58.0893,62.0879,18.0445
12.2500,0.0000,53.2714,58.0219,61.8475,18.6311
12.3000,0.0000,53.2034,57.9578,61.6012,19.2199
12.3500,0.0000,53.1235,57.8975,61.3496,19.8103
12.4000,0.0000,53.0316,57.8411,61.0936,20.4019
12.4500,0.0000,52.9279,57.7889,60.8338,20.9943
12.5000,0.0000,52.8125,57.7409,60.5709,21.5869
12.5500,0.0000,52.6853,57.6972,60.3056,22.1795
12.6000,0.0000,52.5465,57.6577,60.0385,22.7715
12.6500,0.0000,52.3963,57.6224,59.7702,23.3625
12.7000,0.0000,52.2347,57.5910,59.5013,23.9521
12.7500,0.0000,52.0621,57.5633,59.2325,24.5400
12.8000,0.0000,51.8786,57.5389,58.9644,25.1256
12.8500,0.0000,51.6843,57.5175,58.6974,25.7087
12.9000,0.0000,51.4796,57.4984,58.4321,26.2889
12.9500,0.0000,51.2648,57.4812,58.1692,26.8658
13.0000,0.0000,51.0400,57.4652,57.9091,27.4392
13.0500,0.0000,50.8056,57.4498,57.6522,28.0086
13.1000,0.0000,50.5619,57.4350,57.3989,28.5736
13.1500,0.0000,50.3093,57.4207,57.1493,29.1336
13.2000,0.0000,50.0480,57.4071,56.9035,29.6879
13.2500,0.0000,49.7784,57.3941,56.6617,30.2360
13.3000,0.0000,49.5010,57.3817,56.4240,30.7775
13.3500,0.0000,49.2160,57.3698,56.1903,31.3116
13.4000,0.0000,48.9239,57.3584,55.9609,31.8380
13.4500,0.0000,48.6252,57.3474,55.7355,32.3560
13.5000,0.0000,48.3201,57.3365,55.5143,32.8651
13.5500,0.0000,48.0091,57.3258,55.2972,33.3650
13.6000,0.0000,47.6928,57.3152,55.0845,33.8559
13.6500,0.0000,47.3715,57.3048,54.8768,34.3380
13.7000,0.0000,47.0456,57.2946,54.6742,34.8117
13.7500,0.0000,46.7157,57.2845,54.4771,35.2771
13.8000,0.0000,46.3822,57.2745,54.2857,35.7345
13.8500,0.0000,46.0456,57.2644,54.1001,36.1841
13.9000,0.0000,45.7063,57.2540,53.9203,36.6260
13.9500,0.0000,45.3649,57.2432,53.7463,37.0602
14.0000,0.0000,45.0217,57.2319,53.5782,37.4870
14.0500,0.0000,44.6774,57.2199,53.4156,37.9064
14.1000,0.0000,44.3323,57.2072,53.2586,38.3184
14.1500,0.0000,43.9870,57.1937,53.1067,38.7231
14.2000,0.0000,43.6420,57.1790,52.9596,39.1204
14.2500,0.0000,43.2976,57.1630,52.8170,39.5105
14.3000,0.0000,42.9544,57.1454,52.6784,39.8933
14.3500,0.0000,42.6129,57.1259,52.5432,40.2687
14.4000,0.0000,42.2736,57.1041,52.4109,40.6368
14.4500,0.0000,41.9368,57.0796,52.2808,40.9976
14.5000,0.0000,41.6030,57.0520,52.1521,41.3509
14.5500,0.0000,41.2728,57.0209,52.0241,41.6967
14.6000,0.0000,40.9465,56.9862,51.8969,42.0351
14.6500,0.0000,40.6245,56.9480,51.7703,42.3659
14.7000,0.0000,40.3073,56.9063,51.6443,42.6891
14.7500,0.0000,39.9953,56.8612,51.5189,43.0046
14.8000,0.0000,39.6888,56.8126,51.3940,43.3125
14.8500,0.0000,39.3883,56.7606,51.2696,43.6127
14.9000,0.0000,39.0940,56.7051,51.1456,43.9051
14.9500,0.0000,38.8060,56.6461,51.0218,44.1898
15.0000,0.0000,38.5246,56.5836,50.8982,44.4668
15.0500,0.0000,38.2496,56.5176,50.7748,44.7360
15.1000,0.0000,37.9814,56.4487,50.6522,44.9975
15.1500,0.0000,37.7198,56.3777,50.5309,45.2517
15.2000,0.0000,37.4650,56.3051,50.4115,45.4988
15.2500,0.0000,37.2170,56.2316,50.2946,45.7390
15.3000,0.0000,36.9757,56.1576,50.1805,45.9725
15.3500,0.0000,36.7412,56.0835,50.0697,46.1995
15.4000,0.0000,36.5134,56.0097,49.9625,46.4201
15.4500,0.0000,36.2923,55.9365,49.8592,46.6346
15.5000,0.0000,36.0776,55.8641,49.7600,46.8431
15.5500,0.0000,35.8694,55.7927,49.6651,47.0457
15.6000,0.0000,35.6675,55.7223,49.5745,47.2426
15.6500,0.0000,35.4716,55.6530,49.4884,47.4339
15.7000,0.0000,35.2815,55.5847,49.4067,47.6198
15.7500,0.0000,35.0970,55.5174,49.3294,47.8005
15.8000,0.0000,34.9179,55.4508,49.2564,47.9760
15.8500,0.0000,34.7438,55.3847,49.1876,48.1465
15.9000,0.0000,34.5743,55.3187,49.1228,48.3121
15.9500,0.0000,34.4090,55.2525,49.0617,48.4732
16.0000,0.0000,34.2475,55.1856,49.0041,48.6297
16.0500,0.0000,34.0895,55.1177,48.9496,48.7820
16.1000,0.0000,33.9350,55.0488,48.8982,48.9298
16.1500,0.0000,33.7839,54.9792,48.8498,49.0732
16.2000,0.0000,33.6364,54.9092,48.8042,49.2119
16.2500,0.0000,33.4925,54.8390,48.7612,49.3461
16.3000,0.0000,33.3523,54.7688,48.7207,49.4754
16.3500,0.0000,33.2157,54.6987,48.6825,49.5999
16.4000,0.0000,33.0830,54.6289,48.6463,49.7194
16.4500,0.0000,32.9539,54.5595,48.6119,49.8338
16.5000,0.0000,32.8287,54.4907,48.5791,49.9432
16.5500,0.0000,32.7071,54.4226,48.5475,50.0472
16.6000,0.0000,32.5887,54.3556,48.5173,50.1457
16.6500,0.0000,32.4730,54.2898,48.4888,50.2383
16.7000,0.0000,32.3594,54.2256,48.4621,50.3247
16.7500,0.0000,32.2474,54.1632,48.4372,50.4045
16.8000,0.0000,32.1366,54.1029,48.4141,50.4777
16.8500,0.0000,32.0263,54.0447,48.3929,50.5439
16.9000,0.0000,31.9163,53.9889,48.3735,50.6029
16.9500,0.0000,31.8061,53.9354,48.3557,50.6545
17.0000,0.0000,31.6952,53.8843,48.3393,50.6986
17.0500,0.0000,31.5831,53.8357,48.3243,50.7351
17.1000,0.0000,31.4696,53.7894,48.3102,50.7638
17.1500,0.0000,31.3542,53.7454,48.2968,50.7847
17.2000,0.0000,31.2365,53.7036,48.2837,50.7978
17.2500,0.0000,31.1162,53.6637,48.2706,50.8029
17.3000,0.0000,30.9928,53.6257,48.2570,50.8002
17.3500,0.0000,30.8661,53.5892,48.2424,50.7896
17.4000,0.0000,30.7355,53.5540,48.2263,50.7712
17.4500,0.0000,30.6009,53.5196,48.2081,50.7450
17.5000,0.0000,30.4617,53.4858,48.1872,50.7113
17.5500,0.0000,30.3178,53.4521,48.1631,50.6700
17.6000,0.0000,30.1690,53.4186,48.1356,50.6211
17.6500,0.0000,30.0152,53.3853,48.1045,50.5644
17.7000,0.0000,29.8564,53.3524,48.0699,50.4998
17.7500,0.0000,29.6926,53.3199,48.0314,50.4273
17.8000,0.0000,29.5239,53.2879,47.9891,50.3466
17.8500,0.0000,29.3501,53.2563,47.9429,50.2577
17.9000,0.0000,29.1714,53.2252,47.8925,50.1604
17.9500,0.0000,28.9877,53.1946,47.8379,50.0548
18.0000,0.0000,28.7992,53.1644,47.7790,49.9406
18.0500,0.0000,28.6058,53.1346,47.7158,49.8178
18.1000,0.0000,28.4077,53.1051,47.6489,49.6863
18.1500,0.0000,28.2049,53.0759,47.5789,49.5460
18.2000,0.0000,27.9975,53.0469,47.5065,49.3967
18.2500,0.0000,27.7857,53.0178,47.4322,49.2384
18.3000,0.0000,27.5694,52.9886,47.3567,49.0710
18.3500,0.0000,27.3489,52.9591,47.2803,48.8944
18.4000,0.0000,27.1242,52.9290,47.2036,48.7084
