time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
4.6000,0.0000,4.6308,11.2297,10.6984,1.7763
4.6500,0.0000,4.8000,11.4660,10.9603,1.8528
4.7000,0.0000,4.9724,11.7025,11.2243,1.9312
4.7500,0.0000,5.1479,11.9392,11.4905,2.0115
4.8000,0.0000,5.3267,12.1760,11.7587,2.0937
4.8500,0.0000,5.5085,12.4127,12.0289,2.1778
4.9000,0.0000,5.6935,12.6492,12.3010,2.2639
4.9500,0.0000,5.8817,12.8855,12.5749,2.3519
5.0000,0.0000,6.0729,13.1214,12.8507,2.4418
5.0500,0.0000,6.2672,13.3568,13.1281,2.5337
5.1000,0.0000,6.4645,13.5917,13.4072,2.6275
5.1500,0.0000,6.6648,13.8259,13.6878,2.7233
5.2000,0.0000,6.8682,14.0593,13.9699,2.8210
5.2500,0.0000,7.0745,14.2919,14.2534,2.9207
5.3000,0.0000,7.2838,14.5235,14.5383,3.0223
5.3500,0.0000,7.4960,14.7540,14.8244,3.1259
5.4000,0.0000,7.7111,14.9833,15.1117,3.2314
5.4500,0.0000,7.9290,15.2114,15.4002,3.3390
5.5000,0.0000,8.1498,15.4381,15.6897,3.4484
5.5500,0.0000,8.3733,15.6633,15.9801,3.5599
5.6000,0.0000,8.5997,15.8869,16.2714,3.6732
5.6500,0.0000,8.8288,16.1089,16.5635,3.7886
5.7000,0.0000,9.0605,16.3291,16.8564,3.9059
5.7500,0.0000,9.2950,16.5475,17.1499,4.0252
5.8000,0.0000,9.5320,16.7639,17.4440,4.1464
5.8500,0.0000,9.7717,16.9784,17.7385,4.2695
5.9000,0.0000,10.0139,17.1907,18.0335,4.3946
5.9500,0.0000,10.2586,17.4007,18.3289,4.5216
6.0000,0.0000,10.5058,17.6085,18.6244,4.6506
6.0500,0.0000,10.7554,17.8140,18.9202,4.7815
6.1000,0.0000,11.0074,18.0169,19.2161,4.9143
6.1500,0.0000,11.2617,18.2173,19.5120,5.0491
6.2000,0.0000,11.5184,18.4151,19.8078,5.1858
6.2500,0.0000,11.7773,18.6103,20.1035,5.3243
6.3000,0.0000,12.0385,18.8026,20.3989,5.4648
6.3500,0.0000,12.3018,18.9921,20.6941,5.6071
6.4000,0.0000,12.5673,19.1787,20.9889,5.7514
6.4500,0.0000,12.8348,19.3623,21.2833,5.8975
6.5000,0.0000,13.1044,19.5428,21.5771,6.0454
6.5500,0.0000,13.3760,19.7203,21.8703,6.1953
6.6000,0.0000,13.6495,19.8945,22.1628,6.3469
6.6500,0.0000,13.9249,20.0655,22.4546,6.5004
6.7000,0.0000,14.2021,20.2333,22.7455,6.6558
6.7500,0.0000,14.4812,20.3977,23.0355,6.8129
6.8000,0.0000,14.7620,20.5587,23.3245,6.9719
6.8500,0.0000,15.0445,20.7162,23.6124,7.1326
6.9000,0.0000,15.3286,20.8702,23.8992,7.2952
6.9500,0.0000,15.6143,21.0207,24.1847,7.4595
7.0000,0.0000,15.9016,21.1677,24.4689,7.6255
7.0500,0.0000,16.1903,21.3110,24.7518,7.7933
7.1000,0.0000,16.4805,21.4506,25.0332,7.9628
7.1500,0.0000,16.7720,21.5866,25.3131,8.1341
7.2000,0.0000,17.0649,21.7189,25.5914,8.3070
7.2500,0.0000,17.3591,21.8474,25.8681,8.4817
7.3000,0.0000,17.6544,21.9722,26.1430,8.6580
7.3500,0.0000,17.9510,22.0932,26.4161,8.8359
7.4000,0.0000,18.2486,22.2104,26.6873,9.0156
7.4500,0.0000,18.5473,22.3238,26.9566,9.1968
7.5000,0.0000,18.8470,22.4334,27.2238,9.3796
7.5500,0.0000,19.1476,22.5391,27.4890,9.5641
7.6000,0.0000,19.4491,22.6411,27.7520,9.7501
7.6500,0.0000,19.7515,22.7392,28.0128,9.9377
7.7000,0.0000,20.0546,22.8336,28.2713,10.1268
7.7500,0.0000,20.3584,22.9241,28.5275,10.3175
7.8000,0.0000,20.6629,23.0109,28.7813,10.5096
7.8500,0.0000,20.9679,23.0939,29.0326,10.7033
7.9000,0.0000,21.2735,23.1731,29.2814,10.8984
7.9500,0.0000,21.5796,23.2487,29.5276,11.0950
8.0000,0.0000,21.8861,23.3206,29.7711,11.2930
8.0500,0.0000,22.1930,23.3888,30.0120,11.4925
8.1000,0.0000,22.5002,23.4535,30.2500,11.6933
8.1500,0.0000,22.8076,23.5145,30.4853,11.8955
8.2000,0.0000,23.1152,23.5721,30.7177,12.0991
8.2500,0.0000,23.4230,23.6262,30.9472,12.3040
8.3000,0.0000,23.7308,23.6769,31.1737,12.5102
8.3500,0.0000,24.0386,23.7243,31.3972,12.7177
8.4000,0.0000,24.3464,23.7685,31.6176,12.9266
8.4500,0.0000,24.6541,23.8094,31.8349,13.1366
8.5000,0.0000,24.9616,23.8472,32.0491,13.3479
8.5500,0.0000,25.2689,23.8820,32.2600,13.5604
8.6000,0.0000,25.5760,23.9139,32.4678,13.7741
8.6500,0.0000,25.8827,23.9429,32.6722,13.9890
8.7000,0.0000,26.1890,23.9692,32.8733,14.2050
8.7500,0.0000,26.4948,23.9928,33.0710,14.4221
8.8000,0.0000,26.8001,24.0139,33.2653,14.6404
8.8500,0.0000,27.1049,24.0326,33.4562,14.8597
8.9000,0.0000,27.4090,24.0489,33.6437,15.0801
8.9500,0.0000,27.7125,24.0631,33.8276,15.3015
9.0000,0.0000,28.0152,24.0753,34.0080,15.5239
9.0500,0.0000,28.3171,24.0855,34.1849,15.7474
9.1000,0.0000,28.6181,24.0940,34.3582,15.9717
9.1500,0.0000,28.9183,24.1009,34.5278,16.1971
9.2000,0.0000,29.2174,24.1063,34.6939,16.4233
9.2500,0.0000,29.5156,24.1104,34.8563,16.6504
9.3000,0.0000,29.8126,24.1134,35.0151,16.8784
9.3500,0.0000,30.1086,24.1154,35.1702,17.1073
9.4000,0.0000,30.4033,24.1166,35.3216,17.3369
9.4500,0.0000,30.6968,24.1173,35.4693,17.5674
9.5000,0.0000,30.9890,24.1175,35.6133,17.7986
9.5500,0.0000,31.2798,24.1176,35.7535,18.0306
9.6000,0.0000,31.5692,24.1175,35.8901,18.2633
9.6500,0.0000,31.8572,24.1168,36.0229,18.4966
9.7000,0.0000,32.1436,24.1151,36.1520,18.7307
9.7500,0.0000,32.4285,24.1118,36.2774,18.9654
9.8000,0.0000,32.7118,24.1065,36.3991,19.2007
9.8500,0.0000,32.9934,24.0988,36.5170,19.4366
9.9000,0.0000,33.2733,24.0883,36.6312,19.6731
9.9500,0.0000,33.5514,24.0747,36.7418,19.9101
10.0000,0.0000,33.8276,24.0576,36.8486,20.1476
10.0500,0.0000,34.1020,24.0368,36.9518,20.3857
10.1000,0.0000,34.3745,24.0122,37.0514,20.6242
